Location,Room,Number_of_guest,bed_type,Number_of_bed,Number_of_bath,wifi,Air_cond,Kitchen,Self_check_in,Rating,Price_in_MYR,Price_in_MYR_per_guest
Kuala Lumpur,Entire serviced apartment,2, Studio,2.0,1,True,True,True,True,4.87,81.0,40.5
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,4.84,175.5,43.875
Kuala Lumpur,Entire rental unit,5, Studio,1.0,1,True,True,True,True,4.84,108.0,21.6
Kuala Lumpur,Entire condominium (condo),2, Studio,1.0,1,True,True,True,True,4.85,148.5,74.25
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.95,175.5,43.875
Kuala Lumpur,Entire serviced apartment,2, 1 bedroom,0.0,1,True,True,True,True,,76.5,38.25
Kuala Lumpur,Entire rental unit,7, 1 bedroom,1.0,1,True,True,True,True,4.88,175.5,25.071428571428573
Kuala Lumpur,Entire rental unit,4, Studio,2.0,1,True,True,True,True,4.77,144.0,36.0
Kuala Lumpur,Entire serviced apartment,3, 1 bedroom,1.0,1.5,True,True,True,True,4.62,81.0,27.0
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.82,108.0,27.0
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,False,True,4.78,144.0,72.0
Federal Territory of Kuala Lumpur,Entire condominium (condo),2, Studio,1.0,1,True,True,True,False,4.65,99.0,49.5
Kuala Lumpur,Entire rental unit,2, 1 bedroom,1.0,Half-bath,True,True,True,True,4.93,108.0,54.0
Federal Territory of Kuala Lumpur,Entire rental unit,4, Studio,2.0,1,True,True,True,True,4.87,121.5,30.375
Kuala Lumpur,Entire rental unit,5, Studio,4.0,1,True,True,True,True,4.63,72.0,14.4
Kuala Lumpur,Entire condominium (condo),2, 1 bedroom,1.0,1,True,True,True,True,4.83,157.5,78.75
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,2.0,1.5,True,True,True,True,4.77,67.5,16.875
Kuala Lumpur,Entire condominium (condo),2, 1 bedroom,1.0,1,True,True,True,False,4.83,126.0,63.0
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.47,94.5,23.625
Kuala Lumpur,Entire serviced apartment,4, Studio,1.0,1,True,True,True,True,4.15,85.5,21.375
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.83,121.5,30.375
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.67,112.5,28.125
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,5.0,94.5,23.625
Kuala Lumpur,Entire rental unit,3, Studio,1.0,1,True,True,True,True,4.97,139.5,46.5
Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1.5,True,True,True,True,4.77,193.5,64.5
Kuala Lumpur,Entire rental unit,2, Studio,1.0,1,True,True,True,True,4.94,117.0,58.5
