Title,Company Name,Location,Salary,Rating,Descriptions
Carousell Business Analyst,Carousell Group,Kuala Lumpur,,,"Work with key business stakeholders and data team (data analysts, data engineers, machine learning engineers) to develop insights, prepare reports and data…"
Business Development Analyst,Accion Labs,Kuala Lumpur,,,Capable in collecting information through all sources (from desk research to data science) with solid interviewing skills. Willing to travel from time to time.
Senior Reporting and Statutory Analyst,Baker Hughes,Kuala Lumpur,,4.0,"Our Global Finance Controllership Team provides support for the business for technical accounting compliance, financial and operational internal controls,…"
Strategy Analyst,Agensi Pekerjaan Six Degree Consulting,Kuala Lumpur,"RM 10,000 a month",,"The strategy analyst supports and drives critical business insights by gathering, reviewing, and testing data, applying a number of measures to provide…"
"Market Business Analyst, Manager",EY,Kuala Lumpur,,4.0,"Leverage the use of data platforms to drive operational efficiencies and maintain data quality. Reporting to the Malaysia’s Market Leader, you will oversee the…"
Commercial Growth Specialist,foodpanda Malaysia,,,3.8,Be diligent in identifying and interpreting data sources. Communication: Transform raw data into presentable information for stakeholders.
Programmer/System Analyst/Development Supervisor,Teknik Padu,Kuala Lumpur,,,Knowledge/experience in PERL/PHP/SQL application development. Knowledge/experience in Linux/BSD/MacOSX. Create & maintain Data Flow/Logic Diagrams.
"Supply Planner & Data Analyst, APAC (Chemicals)",Robert Walters,Kuala Lumpur,,,Maintain R3 and SNP planning related master data for the given portfolio. Good understanding of Tableau/Power BI/ data management dashboards.
Upstream Solution Analyst - Energy Insights,McKinsey & Company,Kuala Lumpur,,4.3,University degree with excellent academic record. 2+ years of experience in the Oil & Gas industry ideally with technical experience working in an upstream…
Seller Management - Projects,Shopee,Kuala Lumpur,,4.0,"Strong affinity to data, solid analytical abilities and critical thinking skills. Strong problem solving skills, ability to draw insights from complex data and…"
"Senior Analyst, Finance Shared Services",edotco Group,Kuala Lumpur,,,"Strong data analytical and problem-solving skillset. The Accounts Payable Senior Analyst coordinates, train and support all activities within Accounts Payable…"
Master Data Analyst,BD,Kuala Lumpur,,3.8,Support data cleansing and data standardization activities. Work with data owners and associates to ensure proper identification of all impacted data elements…
Product Operations Analyst,Ria Financial,Kuala Lumpur,,3.5,"Perform data collection and prepare reports as needed. Analyze call center, Web analytics, digital KPIs and other data as necessary to identify trends and…"
Lead Quality Assurance Analyst,Accion Labs,Kuala Lumpur,,,"Develop testing methodology and guide QA analyst in preparing test plans, design detailed test cases/scripts based on business requirements captured in…"
Project Coordinator,Standard Chartered,Kuala Lumpur,,4.1,"One year project coordination experience or business analyst experience, or corresponding credential, with history of turning data into narratives."
